,KNN,决策树,随机森林,支持向量机,神经网络,线性回归
0,0.497,0.435,0.485,0.559,0.549,0.583
1,0.5,0.441,0.488,0.59,0.611,0.63
2,0.498,0.439,0.498,0.604,0.573,0.589
3,0.542,0.424,0.604,0.692,0.664,0.614
4,0.511,0.483,0.486,0.601,0.579,0.614
5,0.552,0.433,0.574,0.636,0.608,0.536
6,0.549,0.429,0.564,0.665,0.683,0.586
7,0.52,0.408,0.451,0.599,0.602,0.639
8,0.39,0.314,0.374,0.547,0.506,0.541
9,0.467,0.432,0.483,0.549,0.568,0.543
