,KNN,决策树,随机森林,支持向量机,神经网络,线性回归
0,0.567,0.5,0.59,0.59,0.577,0.597
1,0.57,0.553,0.597,0.62,0.603,0.62
2,0.537,0.517,0.603,0.697,0.617,0.687
3,0.617,0.527,0.683,0.633,0.65,0.65
4,0.528,0.498,0.488,0.629,0.599,0.635
5,0.535,0.368,0.462,0.589,0.575,0.609
6,0.378,0.438,0.468,0.559,0.492,0.542
7,0.406,0.362,0.379,0.517,0.53,0.54
8,0.384,0.35,0.323,0.586,0.492,0.542
9,0.441,0.36,0.401,0.545,0.424,0.519
